url,address,neighborhood,rent,beds,baths,flexible_rooms,zip
https://www.renthop.com/listings/linden-street/6b/59558816,Linden Street,"Bushwick, Northern Brooklyn, Brooklyn",2250,2,1.0,0,
https://www.renthop.com/listings/25-61-46th-street/2/14741864,"25-61 46th Street, Apt 2","Astoria, Northwestern Queens, Queens",3000,3,2.0,0,
https://www.renthop.com/listings/e-87-street/3g/58926217,E 87 Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1675,0,1.0,0,
https://www.renthop.com/listings/605-west-42nd-street/19t/14464268,"605 West 42nd Street, Apt 19T","Hell's Kitchen, Midtown Manhattan, Manhattan",2280,0,1.0,0,10036
https://www.renthop.com/listings/310-east-81-street/2/58642632,"310 East 81 Street, Apt 2","Yorkville, Upper East Side, Upper Manhattan, Manhattan",4995,2,2.0,0,10028
https://www.renthop.com/listings/785-ninth-avenue-2b/2b/12497219,"785 Ninth Avenue, Apt 2B","Hell's Kitchen, Midtown Manhattan, Manhattan",2500,2,1.0,0,10019
https://www.renthop.com/listings/320-east-46th-street/11f/15349432,"320 East 46th Street, Apt 11F","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",2396,1,1.0,0,10017
https://www.renthop.com/listings/washington-st/na/59555156,Washington st,"Financial District, Downtown Manhattan, Manhattan",1800,0,1.0,1,
https://www.renthop.com/listings/109-waverly-avenue/1-a/59493788,"109 Waverly Avenue, Apt 1A","Clinton Hill, Northwestern Brooklyn, Brooklyn",1950,0,1.0,0,11205
https://www.renthop.com/listings/west-153rd-street/1-a/59125630,West 153rd Street,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",1600,0,1.0,0,
https://www.renthop.com/listings/127-east-30th-street-new-york-ny-10016/penthouse-a/59595814,"127 East 30th Street, Apt PENT...","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",9000,2,3.0,1,10016
https://www.renthop.com/listings/71-perry-st/garden/59341966,"71 Perry Street, Apt GARDEN","West Village, Downtown Manhattan, Manhattan",4995,1,1.0,0,10014
https://www.renthop.com/listings/57-troutman-street/1r/59102057,"57 Troutman Street, Apt 1R","Bushwick, Northern Brooklyn, Brooklyn",2525,2,1.0,0,11206
https://www.renthop.com/listings/23-81-23rd-street/2/59043494,"23-81 23rd Street, Apt 2","Astoria, Northwestern Queens, Queens",2800,3,1.0,0,
https://www.renthop.com/listings/1326-ocean-avenue/8d/59525745,"1326 Ocean Avenue, Apt 8D","Flatbush, Central Brooklyn, Brooklyn",2300,1,1.0,0,11230
https://www.renthop.com/listings/west-97th-and-columbus-avenue/na/57947283,West 97th and Columbus avenue!...,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3068,3,1.5,0,
https://www.renthop.com/listings/221-linden-boulevard-brooklyn-ny-11226/5-c/59128349,"221 Linden Boulevard, Apt 5C","Flatbush, Central Brooklyn, Brooklyn",1910,1,1.0,0,11226
https://www.renthop.com/listings/120-west-21st-street/1105/58979041,"120 West 21st Street, Apt 1105...","Chelsea, Midtown Manhattan, Manhattan",18333,5,5.0,0,10011
https://www.renthop.com/listings/37-14-28th-avenue/na/59617997,37-14 28th Avenue,"Astoria, Northwestern Queens, Queens",2800,3,1.0,0,
https://www.renthop.com/listings/146-south-4th-street/2a/15609787,"146 South 4th Street, Apt 2A","Williamsburg, Northern Brooklyn, Brooklyn",2250,0,1.0,0,11211
https://www.renthop.com/listings/146-south-4th-street/2a/14719806,"146 South 4th Street, Apt 2A","Williamsburg, Northern Brooklyn, Brooklyn",2250,0,1.0,0,11211
https://www.renthop.com/listings/36-linden-street/6b/59564230,"36 Linden Street, Apt 6B","Bushwick, Northern Brooklyn, Brooklyn",2250,2,1.0,0,11221
https://www.renthop.com/listings/east-12th-street-between-ave-a-ave-b/4l/59531576,East 12th Street Between Ave A...,"Alphabet City, East Village, Downtown Manhattan, Manhattan",2000,2,1.0,0,
https://www.renthop.com/listings/23-81-23rd-street/2/59043494,"23-81 23rd Street, Apt 2","Astoria, Northwestern Queens, Queens",2800,3,1.0,0,
https://www.renthop.com/listings/1326-ocean-avenue/8d/59525745,"1326 Ocean Avenue, Apt 8D","Flatbush, Central Brooklyn, Brooklyn",2300,1,1.0,0,11230
https://www.renthop.com/listings/west-97th-and-columbus-avenue/na/57947283,West 97th and Columbus avenue!...,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3068,3,1.5,0,
https://www.renthop.com/listings/524-west-50th-st-3c/3c/58745495,"524 West 50th St #3c, Apt 3C","Hell's Kitchen, Midtown Manhattan, Manhattan",2395,1,1.0,0,10019
https://www.renthop.com/listings/374-west-46th-street/2w/12769805,"374 West 46th Street #2w, Apt ...","Hell's Kitchen, Midtown Manhattan, Manhattan",2195,1,1.0,0,10036
https://www.renthop.com/listings/221-linden-boulevard-brooklyn-ny-11226/5-c/59128349,"221 Linden Boulevard, Apt 5C","Flatbush, Central Brooklyn, Brooklyn",1910,1,1.0,0,11226
https://www.renthop.com/listings/120-west-21st-street/1105/58979041,"120 West 21st Street, Apt 1105...","Chelsea, Midtown Manhattan, Manhattan",18333,5,5.0,0,10011
https://www.renthop.com/listings/west-52-street/12-u/59022192,West 52 Street,"Theater District, Midtown Manhattan, Manhattan",2175,0,1.0,0,
https://www.renthop.com/listings/37-14-28th-avenue/na/59617997,37-14 28th Avenue,"Astoria, Northwestern Queens, Queens",2800,3,1.0,0,
https://www.renthop.com/listings/146-south-4th-street/2a/15609787,"146 South 4th Street, Apt 2A","Williamsburg, Northern Brooklyn, Brooklyn",2250,0,1.0,0,11211
https://www.renthop.com/listings/146-south-4th-street/2a/14719806,"146 South 4th Street, Apt 2A","Williamsburg, Northern Brooklyn, Brooklyn",2250,0,1.0,0,11211
https://www.renthop.com/listings/west-16th-street/1e/58517296,West 16th Street,"Chelsea, Midtown Manhattan, Manhattan",1900,0,1.0,0,
https://www.renthop.com/listings/946-bushwick-avenue/e7/59617952,"946 Bushwick Avenue, Apt E7","Bushwick, Northern Brooklyn, Brooklyn",2200,2,2.0,0,11221
https://www.renthop.com/listings/753-east-6th-street-new-york-ny-10009/na/58164332,753 East 6th Street,"Alphabet City, East Village, Downtown Manhattan, Manhattan",2000,2,1.0,0,10009
https://www.renthop.com/listings/311-west-111th-street/1a/59267966,"311 West 111th Street, Apt 1A","Central Harlem, Upper Manhattan, Manhattan",1900,0,1.0,0,10026
https://www.renthop.com/listings/101-west-end-avenue/11r/59222438,"101 West End Avenue, Apt 11R","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",2548,1,1.0,0,10023
https://www.renthop.com/listings/wall-street/27j/59223834,Wall Street,"Financial District, Downtown Manhattan, Manhattan",2000,0,1.0,0,
https://www.renthop.com/listings/105-duane-street-new-york-ny-10007/20g/59518525,"105 Duane Street, Apt 20G","Tribeca, Downtown Manhattan, Manhattan",5200,1,1.0,0,10007
https://www.renthop.com/listings/606-west-57th-street/821/59055585,"606 West 57th Street, Apt 821","Hell's Kitchen, Midtown Manhattan, Manhattan",3619,2,2.0,1,10019
https://www.renthop.com/listings/606-west-57th-street/718/59148578,"606 West 57th Street, Apt 718","Hell's Kitchen, Midtown Manhattan, Manhattan",2532,1,1.0,1,10019
https://www.renthop.com/listings/e-87-street/3g/58926217,E 87 Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1675,0,1.0,0,
https://www.renthop.com/listings/101-west-end-avenue/8c/58348592,"101 West End Avenue, Apt 8C","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",2059,0,1.0,0,10023
https://www.renthop.com/listings/776-9th-ave52-53-4s/4s/15907567,"776 9th Ave #4s, Apt 4S","Hell's Kitchen, Midtown Manhattan, Manhattan",2695,2,1.0,0,10019
https://www.renthop.com/listings/battery-place/410/59564399,Battery Place,"Battery Park City, Downtown Manhattan, Manhattan",2300,1,1.0,1,
https://www.renthop.com/listings/e-12-street/4c/59054638,E 12 Street,"East Village, Downtown Manhattan, Manhattan",2150,0,1.0,0,
https://www.renthop.com/listings/65-north-6th-street/3e/59129837,"65 North 6th Street, Apt 3E","Williamsburg, Northern Brooklyn, Brooklyn",3000,1,1.0,0,11249
https://www.renthop.com/listings/25-30-22nd-street/1/59339408,"25-30 22nd Street, Apt 1","Astoria, Northwestern Queens, Queens",2999,2,1.0,0,
https://www.renthop.com/listings/w-52-street/2s/59022159,W 52 Street,"Theater District, Midtown Manhattan, Manhattan",1900,0,1.0,0,
https://www.renthop.com/listings/946-bushwick-avenue/f8/58867003,"946 Bushwick Avenue, Apt F8","Bushwick, Northern Brooklyn, Brooklyn",2300,3,2.0,1,11221
https://www.renthop.com/listings/20-west-street/23c/59431649,"20 West Street, Apt 23C","Financial District, Downtown Manhattan, Manhattan",2995,1,1.0,0,10004
https://www.renthop.com/listings/410-west-22nd-street/4/59410622,"410 West 22nd Street, Apt 4","Chelsea, Midtown Manhattan, Manhattan",2500,0,1.0,0,10011
https://www.renthop.com/listings/415-east-73-street/3g/13624060,"415 East 73 Street, Apt 3G","Upper East Side, Upper Manhattan, Manhattan",2100,1,1.0,0,10021
https://www.renthop.com/listings/880-dekalb-avenue/201/59618068,"880 Dekalb Avenue, Apt 201","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2300,1,1.0,0,11221
https://www.renthop.com/listings/146-west-120th-street/3/59360164,"146 West 120th Street, Apt 3","Central Harlem, Upper Manhattan, Manhattan",1700,1,1.0,0,10027
https://www.renthop.com/listings/7-oliver-street-new-york-ny-10038/4/59564425,"7 Oliver Street, Apt 4","Two Bridges, Downtown Manhattan, Manhattan",2450,1,1.0,0,10038
https://www.renthop.com/listings/broadway/45/57891074,Broadway,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",2979,3,2.0,0,
https://www.renthop.com/listings/201-west-120th-street/2b/59154956,"201 West 120th Street, Apt 2B","Central Harlem, Upper Manhattan, Manhattan",2154,1,1.0,0,10027
https://www.renthop.com/listings/701-west-184th-street/2k/59431777,"701 West 184th Street, Apt 2K","Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",1825,1,1.0,0,10033
https://www.renthop.com/listings/32-18-34th-street/1f/59554283,"32-18 34th Street, Apt 1F","Astoria, Northwestern Queens, Queens",1700,1,1.0,0,
https://www.renthop.com/listings/battery-place/315/59618076,Battery Place,"Battery Park City, Downtown Manhattan, Manhattan",2500,1,1.0,0,
https://www.renthop.com/listings/510-east-82nd-street-new-york-ny-10028/3a/59312616,"510 East 82nd Street, Apt 3A","Yorkville, Upper East Side, Upper Manhattan, Manhattan",1875,0,1.0,0,10028
https://www.renthop.com/listings/95th-3rd/na/58998858,95th &3rd,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2000,0,1.0,0,
https://www.renthop.com/listings/23rd-ave-and-steinway-street/2f/59587138,23rd Ave and Steinway Street,"Astoria, Northwestern Queens, Queens",1700,1,1.0,0,
https://www.renthop.com/listings/701-west-184th-street/2k/59431777,"701 West 184th Street, Apt 2K","Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",1825,1,1.0,0,10033
https://www.renthop.com/listings/32-18-34th-street/1f/59554283,"32-18 34th Street, Apt 1F","Astoria, Northwestern Queens, Queens",1700,1,1.0,0,
https://www.renthop.com/listings/25-56-38th-street/2r/59554306,"25-56 38th Street, Apt 2R","Astoria, Northwestern Queens, Queens",2250,1,1.0,0,
https://www.renthop.com/listings/battery-place/315/59618076,Battery Place,"Battery Park City, Downtown Manhattan, Manhattan",2500,1,1.0,0,
https://www.renthop.com/listings/115-elizabeth-street/a/59410635,"115 Elizabeth Street, Apt #A","Little Italy, Downtown Manhattan, Manhattan",3700,2,2.0,0,10013
https://www.renthop.com/listings/510-east-82nd-street-new-york-ny-10028/3a/59312616,"510 East 82nd Street, Apt 3A","Yorkville, Upper East Side, Upper Manhattan, Manhattan",1875,0,1.0,0,10028
https://www.renthop.com/listings/230-west-55th-street-new-york-ny-10019/11h/59493710,"230 West 55th Street, Apt 11H","Theater District, Midtown Manhattan, Manhattan",2495,0,1.0,0,10019
https://www.renthop.com/listings/169-west-81st-street/4/59410646,"169 West 81st Street, Apt #4","Upper West Side, Upper Manhattan, Manhattan",2830,2,1.0,0,10024
https://www.renthop.com/listings/1061-willoughby-avenue-brooklyn-ny-11221/1/59523971,"1061 Willoughby Avenue, Apt 1","Bushwick, Northern Brooklyn, Brooklyn",2600,2,1.0,0,11221
https://www.renthop.com/listings/pine-street/5005/58439950,Pine Street,"Financial District, Downtown Manhattan, Manhattan",5917,2,2.0,1,
https://www.renthop.com/listings/305-west-111th-street/2c/59115752,"305 West 111th Street, Apt 2C","Central Harlem, Upper Manhattan, Manhattan",1970,1,1.0,0,10026
https://www.renthop.com/listings/305-west-111th-street/1d/59267962,"305 West 111th Street, Apt 1D","Central Harlem, Upper Manhattan, Manhattan",2065,1,1.0,0,10026
https://www.renthop.com/listings/20-west-street/5h/59431647,"20 West Street, Apt 5H","Financial District, Downtown Manhattan, Manhattan",2450,0,1.0,0,10004
https://www.renthop.com/listings/58-stagg-street/na/59618091,58 Stagg Street,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",2356,2,1.5,0,11206
https://www.renthop.com/listings/63-roebling-street-brooklyn-ny-11211/1b/59360186,"63 Roebling Street, Apt 1B","Williamsburg, Northern Brooklyn, Brooklyn",2554,1,1.0,0,11211
https://www.renthop.com/listings/20-west-street/37d/59431657,"20 West Street, Apt 37D","Financial District, Downtown Manhattan, Manhattan",2495,1,1.0,0,10004
https://www.renthop.com/listings/west-50th-street/4-w/58723400,West 50th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",2400,2,1.0,0,
https://www.renthop.com/listings/455-w-44th-street/20/59294520,"455 West 44th Street, Apt 20","Hell's Kitchen, Midtown Manhattan, Manhattan",2669,2,1.0,0,10036
https://www.renthop.com/listings/455-w-44th-street/15/59422592,"455 West 44th Street, Apt 15","Hell's Kitchen, Midtown Manhattan, Manhattan",1850,1,1.0,0,10036
https://www.renthop.com/listings/east-23rd-street/18/15748755,East 23rd Street,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2350,2,1.0,0,
https://www.renthop.com/listings/29th-st-and-30th-dr/5/14086756,29th St and 30th Dr,"Astoria, Northwestern Queens, Queens",1900,1,1.0,0,
https://www.renthop.com/listings/first-ave/4a/5131377,First ave ,"East Village, Downtown Manhattan, Manhattan",3600,3,1.0,0,
https://www.renthop.com/listings/19-dutch-street/7d/15892304,"19 Dutch Street, Apt 7D","Financial District, Downtown Manhattan, Manhattan",2569,0,1.0,0,10038
https://www.renthop.com/listings/east-13th-street/6a/58608626,East 13th Street,"East Village, Downtown Manhattan, Manhattan",3500,3,1.0,0,
https://www.renthop.com/listings/243-east-83rd-street/2c/59580080,"243 East 83rd Street, Apt 2C","Yorkville, Upper East Side, Upper Manhattan, Manhattan",1829,1,1.0,0,10028
https://www.renthop.com/listings/1065-second-ave/18e/15699344,"1065 2nd Avenue, Apt 18E","Midtown East, Midtown Manhattan, Manhattan",5559,2,2.0,0,10022
https://www.renthop.com/listings/2694-bedford-avenue/2/59595627,"2694 Bedford Avenue, Apt 2","South Midwood, Flatbush, Central Brooklyn, Brooklyn",2200,2,1.0,0,11210
